major_name,onetsoc_code,match_strength
Social Work,27-3043.05,0.90
Technical Writing and Editing,27-3043.05,0.90
Linguistics,27-3091.00,0.98
"Speech, Language, Hearing Sciences",27-3091.00,0.85
World Languages,27-3091.00,0.85
"Speech, Language, Hearing Sciences",27-3092.00,0.98
Health Care Information Systems Major,27-3092.00,0.83
Aging Services Leadership,27-3092.00,0.68
Communication Design,27-3099.00,0.98
Media Production and Leadership,27-3099.00,0.98
Broadcast Journalism,27-3099.00,0.80
Video Production,27-4011.00,0.98
Music,27-4011.00,0.84
Film Studies and Production,27-4011.00,0.74
Broadcast Journalism,27-4012.00,0.98
Media Production and Leadership,27-4012.00,0.86
Music,27-4012.00,0.81
Civil Engineering Technology,27-4014.00,0.98
Video Production,27-4014.00,0.93
Advanced Manufacturing Sciences,27-4014.00,0.92
Film Studies and Production,27-4014.00,0.88
Media Production and Leadership,27-4014.00,0.88
Electrical Engineering,27-4014.00,0.86
Video Production,27-4015.00,0.98
Film Studies and Production,27-4015.00,0.93
Media Production and Leadership,27-4015.00,0.93
Electrical Engineering,27-4015.00,0.88
Advanced Manufacturing Operations,27-4015.00,0.82
Advanced Manufacturing Sciences,27-4015.00,0.82
Computer Engineering,27-4021.00,0.98
Advanced Manufacturing Operations,27-4021.00,0.85
Advanced Manufacturing Sciences,27-4021.00,0.85
Computer Information Systems,27-4021.00,0.85
Computer Science,27-4021.00,0.85
Industrial Design,27-4021.00,0.85
Film Studies and Production,27-4031.00,0.98
Video Production,27-4031.00,0.95
Media Production and Leadership,27-4031.00,0.84
Film Studies and Production,27-4032.00,0.98
Video Production,27-4032.00,0.95
Media Production and Leadership,27-4032.00,0.90
Communication Design,27-4099.00,0.98
Media Production and Leadership,27-4099.00,0.98
Broadcast Journalism,27-4099.00,0.80
Health Care Professional Services,29-1011.00,0.95
Integrative Health Care,29-1011.00,0.95
Health Care Information Systems Major,29-1011.00,0.75
Health Care Management,29-1011.00,0.75
Health Care Professional Services,29-1021.00,0.98
Health Care Information Systems Major,29-1021.00,0.83
Health Care Management,29-1021.00,0.83
Integrative Health Care,29-1021.00,0.83
Public Health,29-1021.00,0.83
Public Health,29-1022.00,0.90
Health Care Professional Services,29-1023.00,0.94
Industrial Design,29-1023.00,0.94
Aging Services Leadership,29-1023.00,0.72
Health Care Professional Services,29-1024.00,0.98
Integrative Health Care,29-1024.00,0.90
Health Care Information Systems Major,29-1024.00,0.78
Health Care Management,29-1024.00,0.78
Industrial Design,29-1024.00,0.78
Nursing,29-1024.00,0.78
Special Education,29-1029.00,0.93
Nutrition and Dietetics,29-1031.00,0.98
Nutrition Science,29-1031.00,0.90
Public Health,29-1031.00,0.76
Sport Nutrition,29-1031.00,0.74
Human Development and Family Studies,29-1041.00,0.90
Human Resource Management,29-1041.00,0.90
Human Services,29-1041.00,0.90
Public Health,29-1041.00,0.90
Health Care Professional Services,29-1051.00,0.95
Biochemistry,29-1051.00,0.82
Chemistry,29-1051.00,0.80
Biology,29-1051.00,0.72
Health Care Management,29-1051.00,0.70
Health Care Professional Services,29-1071.00,0.95
Integrative Health Care,29-1071.00,0.95
K-12 Physical Education,29-1071.00,0.75
Nursing,29-1071.00,0.75
Nursing,29-1071.01,0.98
Health Care Professional Services,29-1071.01,0.91
Integrative Health Care,29-1071.01,0.91
Health Care Information Systems Major,29-1071.01,0.79
Health Care Management,29-1071.01,0.79
Human Development and Family Studies,29-1081.00,0.90
Human Resource Management,29-1081.00,0.90
Human Services,29-1081.00,0.90
Public Health,29-1081.00,0.90
Business Administration,29-1122.00,0.90
Management,29-1122.00,0.90
Communication Studies,29-1122.00,0.90
Business Administration,29-1122.01,0.94
Computer Engineering,29-1122.01,0.94
Computer Information Systems,29-1122.01,0.94
Computer Science,29-1122.01,0.94
Computer Security,29-1122.01,0.94
Management,29-1122.01,0.94
K-12 Physical Education,29-1123.00,0.98
Public Health,29-1123.00,0.72
Health Care Professional Services,29-1124.00,0.95
Integrative Health Care,29-1124.00,0.95
Health Care Information Systems Major,29-1124.00,0.75
Health Care Management,29-1124.00,0.75
History,29-1124.00,0.75
Nursing,29-1125.00,0.98
Health Care Professional Services,29-1125.00,0.83
Integrative Health Care,29-1125.00,0.83
Social Work,29-1125.00,0.83
Sport Nutrition,29-1125.00,0.83
Health Care Professional Services,29-1126.00,0.98
Integrative Health Care,29-1126.00,0.98
Health Care Information Systems Major,29-1126.00,0.83
Health Care Management,29-1126.00,0.83
"Speech, Language, Hearing Sciences",29-1127.00,0.98
Health Care Professional Services,29-1127.00,0.78
Special Education,29-1127.00,0.70
Exercise Science,29-1128.00,0.98
K-12 Physical Education,29-1128.00,0.78
Lifestyle Medicine,29-1128.00,0.67
Business Administration,29-1129.00,0.90
Management,29-1129.00,0.90
Communication Studies,29-1129.00,0.90
Art Education,29-1129.01,0.90
"Art History, Theory, and Criticism",29-1129.01,0.90
Art,29-1129.01,0.90
K-12 Physical Education,29-1129.01,0.90
Music,29-1129.02,0.98
Health Care Professional Services,29-1129.02,0.77
Nursing,29-1129.02,0.77
Applied Geology,29-1131.00,0.89
Biochemistry,29-1131.00,0.89
Biology,29-1131.00,0.89
Chemistry,29-1131.00,0.89
Data Science and Machine Learning,29-1131.00,0.89
Environmental Science,29-1131.00,0.89
Nursing,29-1141.00,0.98
Health Care Professional Services,29-1141.00,0.85
Public Health,29-1141.00,0.80
Health Care Management,29-1141.00,0.72
Nursing,29-1141.01,0.98
Health Care Professional Services,29-1141.01,0.85
Public Health,29-1141.01,0.80
Health Care Management,29-1141.01,0.72
Nursing,29-1141.02,0.98
Health Care Professional Services,29-1141.02,0.85
Public Health,29-1141.02,0.80
Health Care Management,29-1141.02,0.72
Nursing,29-1141.03,0.98
Health Care Professional Services,29-1141.03,0.85
Public Health,29-1141.03,0.80
Health Care Management,29-1141.03,0.72
Nursing,29-1141.04,0.98
Health Care Professional Services,29-1141.04,0.85
Public Health,29-1141.04,0.80
Health Care Management,29-1141.04,0.72
Nursing,29-1151.00,0.98
Health Care Professional Services,29-1151.00,0.85
Public Health,29-1151.00,0.80
Health Care Management,29-1151.00,0.72
Nursing,29-1161.00,0.98
Health Care Professional Services,29-1161.00,0.85
Public Health,29-1161.00,0.80
Health Care Management,29-1161.00,0.72
Nursing,29-1171.00,0.98
Health Care Professional Services,29-1171.00,0.85
Public Health,29-1171.00,0.80
Health Care Management,29-1171.00,0.72
"Speech, Language, Hearing Sciences",29-1181.00,0.98
Health Care Professional Services,29-1181.00,0.78
Special Education,29-1181.00,0.70
Business Administration,29-1211.00,0.94
Management,29-1211.00,0.94
Accounting,29-1211.00,0.72
Public Health,29-1212.00,0.90
Health Care Professional Services,29-1213.00,0.94
Integrative Health Care,29-1213.00,0.94
Public Health,29-1213.00,0.94
Health Care Professional Services,29-1214.00,0.98
Integrative Health Care,29-1214.00,0.98
Fire and Emergency Response Administration,29-1214.00,0.94
Lifestyle Medicine,29-1214.00,0.94
Health Care Information Systems Major,29-1214.00,0.78
Health Care Management,29-1214.00,0.78
Human Development and Family Studies,29-1215.00,0.98
Africana Studies,29-1215.00,0.65
Aging Services Leadership,29-1215.00,0.65
Nursing,29-1216.00,0.98
Lifestyle Medicine,29-1216.00,0.94
Health Care Information Systems Major,29-1216.00,0.71
Public Health,29-1217.00,0.90
Health Care Professional Services,29-1218.00,0.98
Integrative Health Care,29-1218.00,0.98
Health Care Information Systems Major,29-1218.00,0.83
Health Care Management,29-1218.00,0.83
Public Health,29-1218.00,0.83
Health Care Professional Services,29-1221.00,0.90
Integrative Health Care,29-1221.00,0.90
Public Health,29-1221.00,0.90
Health Care Professional Services,29-1222.00,0.94
Integrative Health Care,29-1222.00,0.94
Public Health,29-1222.00,0.94
"Speech, Language, Hearing Sciences",29-1222.00,0.94
Business Administration,29-1223.00,0.90
Management,29-1223.00,0.90
Communication Studies,29-1223.00,0.90
Health Care Professional Services,29-1224.00,0.94
Integrative Health Care,29-1224.00,0.94
Lifestyle Medicine,29-1224.00,0.94
Public Health,29-1224.00,0.94
Business Administration,29-1229.00,0.90
Management,29-1229.00,0.90
Communication Studies,29-1229.00,0.90
Public Health,29-1229.01,0.90
Health Care Professional Services,29-1229.02,0.98
Integrative Health Care,29-1229.02,0.98
Nursing,29-1229.02,0.96
Exercise Science,29-1229.02,0.78
Fire and Emergency Response Administration,29-1229.02,0.78
Health Care Information Systems Major,29-1229.02,0.78
Health Care Professional Services,29-1229.03,0.94
Integrative Health Care,29-1229.03,0.94
Aging Services Leadership,29-1229.03,0.72
K-12 Physical Education,29-1229.04,0.98
Lifestyle Medicine,29-1229.04,0.98
Exercise Science,29-1229.04,0.72
Public Health,29-1229.05,0.98
Health Care Professional Services,29-1229.05,0.90
Integrative Health Care,29-1229.05,0.85
Lifestyle Medicine,29-1229.05,0.83
Sport Management,29-1229.06,0.98
Exercise Science,29-1229.06,0.87
Lifestyle Medicine,29-1229.06,0.84
Sport Nutrition,29-1229.06,0.84
Public Health,29-1241.00,0.90
Public Health,29-1242.00,0.90
Public Health,29-1243.00,0.94
Aging Services Leadership,29-1243.00,0.72
Biochemistry,29-1243.00,0.72
Business Administration,29-1249.00,0.90
Management,29-1249.00,0.90
Communication Studies,29-1249.00,0.90
Health Care Information Systems Major,29-1291.00,0.94
Health Care Management,29-1291.00,0.94
Health Care Professional Services,29-1291.00,0.94
Integrative Health Care,29-1291.00,0.94
Nutrition Science,29-1291.00,0.94
Public Health,29-1291.00,0.94
Health Care Professional Services,29-1292.00,0.98
Integrative Health Care,29-1292.00,0.92
Health Care Information Systems Major,29-1292.00,0.86
Health Care Management,29-1292.00,0.86
Public Health,29-1292.00,0.86
Health Care Professional Services,29-1299.00,0.98
Integrative Health Care,29-1299.00,0.98
Health Care Information Systems Major,29-1299.00,0.80
Health Care Management,29-1299.00,0.80
Public Health,29-1299.00,0.80
Mechanical Engineering Technology,29-1299.01,0.98
Advanced Manufacturing Operations,29-1299.01,0.68
Advanced Manufacturing Sciences,29-1299.01,0.68
Business Administration,29-1299.02,0.90
Management,29-1299.02,0.90
Communication Studies,29-1299.02,0.90
Biology,29-2011.00,0.98
Biochemistry,29-2011.00,0.91
Health Care Professional Services,29-2011.00,0.86
Biochemistry,29-2011.01,0.90
Biology,29-2011.01,0.90
Public Health,29-2011.01,0.90
Business Administration,29-2011.02,0.90
Management,29-2011.02,0.90
Communication Studies,29-2011.02,0.90
Nutrition Science,29-2011.04,0.98
Public Health,29-2011.04,0.98
Biology,29-2011.04,0.96
Chemistry,29-2011.04,0.96
Health Care Information Systems Major,29-2011.04,0.83
Health Care Management,29-2011.04,0.83
Biology,29-2012.00,0.98
Biochemistry,29-2012.00,0.91
Health Care Professional Services,29-2012.00,0.86
Applied Geology,29-2012.01,0.89
Biochemistry,29-2012.01,0.89
Biology,29-2012.01,0.89
Chemistry,29-2012.01,0.89
Data Science and Machine Learning,29-2012.01,0.89
Environmental Science,29-2012.01,0.89
Health Care Professional Services,29-2031.00,0.94
Integrative Health Care,29-2031.00,0.94
Biochemistry,29-2031.00,0.90
Biology,29-2031.00,0.90
Chemistry,29-2031.00,0.90
Health Care Professional Services,29-2032.00,0.94
Integrative Health Care,29-2032.00,0.94
Aging Services Leadership,29-2032.00,0.72
Lifestyle Medicine,29-2033.00,0.98
Biology,29-2033.00,0.80
Chemistry,29-2033.00,0.80
Health Care Professional Services,29-2033.00,0.80
Integrative Health Care,29-2033.00,0.80
Nutrition Science,29-2033.00,0.80
Health Care Professional Services,29-2034.00,0.98
Integrative Health Care,29-2034.00,0.83
Physics,29-2034.00,0.83
Biochemistry,29-2034.00,0.80
Biology,29-2034.00,0.80
Chemistry,29-2034.00,0.80
Business Intelligence,29-2035.00,0.94
Computer Engineering,29-2035.00,0.94
Computer Information Systems,29-2035.00,0.94
Computer Science,29-2035.00,0.94
Computer Security,29-2035.00,0.94
Health Care Professional Services,29-2035.00,0.94
Health Care Professional Services,29-2036.00,0.94
Integrative Health Care,29-2036.00,0.94
Aging Services Leadership,29-2036.00,0.72
Fire and Emergency Response Administration,29-2042.00,0.98
Health Care Professional Services,29-2042.00,0.93
Integrative Health Care,29-2042.00,0.93
Health Care Information Systems Major,29-2042.00,0.80
Health Care Management,29-2042.00,0.80
Human Services,29-2042.00,0.78
Fire and Emergency Response Administration,29-2043.00,0.98
Health Care Professional Services,29-2043.00,0.98
Integrative Health Care,29-2043.00,0.98
Health Care Information Systems Major,29-2043.00,0.83
Health Care Management,29-2043.00,0.83
Human Services,29-2043.00,0.80
Nutrition and Dietetics,29-2051.00,0.98
Nutrition Science,29-2051.00,0.83
Sport Nutrition,29-2051.00,0.83
Hospitality Leadership,29-2051.00,0.82
Health Care Professional Services,29-2052.00,0.95
Integrative Health Care,29-2052.00,0.88
Public Health,29-2052.00,0.82
Biochemistry,29-2052.00,0.78
Chemistry,29-2052.00,0.75
Biology,29-2052.00,0.72
Health Care Management,29-2052.00,0.70
Health Care Professional Services,29-2053.00,0.98
Integrative Health Care,29-2053.00,0.98
Health Care Information Systems Major,29-2053.00,0.86
Health Care Management,29-2053.00,0.86
Nursing,29-2055.00,0.98
Business Administration,29-2055.00,0.76
Health Care Professional Services,29-2055.00,0.76
Biology,29-2056.00,0.94
Chemistry,29-2056.00,0.94
Health Care Professional Services,29-2056.00,0.94
Integrative Health Care,29-2056.00,0.94
Nutrition Science,29-2056.00,0.94
Public Health,29-2056.00,0.94
Health Care Professional Services,29-2057.00,0.98
Integrative Health Care,29-2057.00,0.92
Health Care Information Systems Major,29-2057.00,0.75
Nursing,29-2061.00,0.98
Health Care Professional Services,29-2061.00,0.85
Public Health,29-2061.00,0.80
Health Care Management,29-2061.00,0.72
Health Care Professional Services,29-2072.00,0.98
Integrative Health Care,29-2072.00,0.98
Health Care Information Systems Major,29-2072.00,0.96
Nursing,29-2072.00,0.78
Biology,29-2081.00,0.94
Chemistry,29-2081.00,0.94
Industrial Design,29-2081.00,0.94
Nutrition Science,29-2081.00,0.94
Social Work,29-2081.00,0.94
Industrial Design,29-2091.00,0.94
"Art History, Theory, and Criticism",29-2091.00,0.72
Art,29-2091.00,0.72
"Speech, Language, Hearing Sciences",29-2092.00,0.98
Industrial Design,29-2092.00,0.77
Aging Services Leadership,29-2092.00,0.65
Health Care Professional Services,29-2099.00,0.98
Health Care Information Systems Major,29-2099.00,0.84
Health Care Management,29-2099.00,0.84
Integrative Health Care,29-2099.00,0.84
Public Health,29-2099.00,0.84
Business Administration,29-2099.01,0.90
Management,29-2099.01,0.90
Communication Studies,29-2099.01,0.90
Health Care Professional Services,29-2099.05,0.98
Integrative Health Care,29-2099.05,0.92
Health Care Information Systems Major,29-2099.05,0.75
Health Care Professional Services,29-2099.08,0.98
Integrative Health Care,29-2099.08,0.98
Health Care Information Systems Major,29-2099.08,0.90
Health Care Management,29-2099.08,0.90
Nutrition Science,29-2099.08,0.78
Public Health,29-2099.08,0.78
Health Care Information Systems Major,29-9021.00,0.98
Health Care Professional Services,29-9021.00,0.80
Integrative Health Care,29-9021.00,0.80
Fire and Emergency Response Administration,29-9091.00,0.94
Criminal Justice and Criminology,29-9091.00,0.72
History,29-9091.00,0.72
Human Development and Family Studies,29-9092.00,0.98
Human Services,29-9092.00,0.78
Psychology Major,29-9092.00,0.78
Business Administration,29-9093.00,0.94
Operations Management,29-9093.00,0.94
Accounting,29-9093.00,0.72
Health Care Professional Services,29-9099.00,0.98
Integrative Health Care,29-9099.00,0.98
Technical Writing and Editing,29-9099.00,0.98
Health Care Information Systems Major,29-9099.00,0.80
Health Care Management,29-9099.00,0.80
Public Health,29-9099.00,0.80
Health Care Information Systems Major,29-9099.01,0.90
Health Care Management,29-9099.01,0.90
Health Care Professional Services,29-9099.01,0.90
Integrative Health Care,29-9099.01,0.90
Health Care Professional Services,31-1121.00,0.98
Integrative Health Care,31-1121.00,0.98
Nursing,31-1121.00,0.90
Health Care Information Systems Major,31-1121.00,0.87
Health Care Management,31-1121.00,0.87
Public Health,31-1121.00,0.87
Africana Studies,31-1122.00,0.94
Chicano Studies,31-1122.00,0.94
Human Services,31-1122.00,0.94
Social Work,31-1122.00,0.94
Sociology,31-1122.00,0.94
Nursing,31-1131.00,0.98
Health Care Professional Services,31-1131.00,0.85
Public Health,31-1131.00,0.80
Health Care Management,31-1131.00,0.72
Health Care Professional Services,31-1132.00,0.90
Integrative Health Care,31-1132.00,0.90
Health Care Professional Services,31-1133.00,0.98
Integrative Health Care,31-1133.00,0.98
Nursing,31-1133.00,0.98
Communication Studies,31-2011.00,0.90
Human Development and Family Studies,31-2011.00,0.90
Instructional Design and Technology,31-2011.00,0.90
Political Science,31-2011.00,0.90
Health Care Professional Services,31-2012.00,0.94
Integrative Health Care,31-2012.00,0.94
Aging Services Leadership,31-2012.00,0.72
Exercise Science,31-2021.00,0.98
Health Care Professional Services,31-2021.00,0.79
Integrative Health Care,31-2021.00,0.79
Exercise Science,31-2022.00,0.98
Health Care Professional Services,31-2022.00,0.79
Integrative Health Care,31-2022.00,0.79
Business Administration,31-9011.00,0.90
Management,31-9011.00,0.90
Communication Studies,31-9011.00,0.90
Health Care Professional Services,31-9091.00,0.98
Health Care Information Systems Major,31-9091.00,0.92
Integrative Health Care,31-9091.00,0.88
Nursing,31-9091.00,0.82
Health Care Professional Services,31-9092.00,0.98
Health Care Information Systems Major,31-9092.00,0.89
Integrative Health Care,31-9092.00,0.81
Health Care Professional Services,31-9093.00,0.98
Integrative Health Care,31-9093.00,0.98
Biology,31-9093.00,0.83
Chemistry,31-9093.00,0.83
Nursing,31-9093.00,0.83
Nutrition Science,31-9093.00,0.83
Health Care Professional Services,31-9094.00,0.98
Integrative Health Care,31-9094.00,0.98
Business Administration,31-9094.00,0.83
Fire and Emergency Response Administration,31-9094.00,0.83
Nursing,31-9094.00,0.83
Operations Management,31-9094.00,0.83
Health Care Professional Services,31-9095.00,0.98
Biochemistry,31-9095.00,0.81
Biology,31-9095.00,0.81
Chemistry,31-9095.00,0.81
Health Care Management,31-9095.00,0.81
Integrative Health Care,31-9095.00,0.81
Health Care Information Systems Major,31-9096.00,0.98
Health Care Management,31-9096.00,0.98
Health Care Professional Services,31-9096.00,0.98
Integrative Health Care,31-9096.00,0.98
Biology,31-9096.00,0.92
Chemistry,31-9096.00,0.92
Applied Geology,31-9097.00,0.89
Biochemistry,31-9097.00,0.89
Biology,31-9097.00,0.89
Chemistry,31-9097.00,0.89
Data Science and Machine Learning,31-9097.00,0.89
Environmental Science,31-9097.00,0.89
Health Care Professional Services,31-9099.00,0.98
Integrative Health Care,31-9099.00,0.98
Health Care Information Systems Major,31-9099.00,0.80
Health Care Management,31-9099.00,0.80
Public Health,31-9099.00,0.80
Social Work,31-9099.00,0.80
"Speech, Language, Hearing Sciences",31-9099.01,0.98
Health Care Professional Services,31-9099.01,0.78
Special Education,31-9099.01,0.70
Nursing,31-9099.02,0.90
Criminal Justice and Criminology,33-1011.00,0.96
Psychology Major,33-1011.00,0.70
Political Science,33-1011.00,0.68
Criminal Justice and Criminology,33-1012.00,0.96
Psychology Major,33-1012.00,0.70
Political Science,33-1012.00,0.68
Fire and Emergency Response Administration,33-1021.00,0.98
Social Work,33-1021.00,0.83
Criminal Justice and Criminology,33-1021.00,0.65
Computer Security,33-1091.00,0.98
Social Work,33-1091.00,0.80
Criminal Justice and Criminology,33-1091.00,0.72
Social Work,33-1099.00,0.93
Management,33-1099.00,0.80
Fire and Emergency Response Administration,33-2011.00,0.96
Public Health,33-2011.00,0.70
Criminal Justice and Criminology,33-2011.00,0.68
Fire and Emergency Response Administration,33-2021.00,0.98
Political Science,33-2021.00,0.77
Criminal Justice and Criminology,33-2021.00,0.65
Fire and Emergency Response Administration,33-2022.00,0.98
Criminal Justice and Criminology,33-2022.00,0.65
History,33-2022.00,0.65
Political Science,33-3011.00,0.94
Criminal Justice and Criminology,33-3011.00,0.72
Fire and Emergency Response Administration,33-3011.00,0.72
Criminal Justice and Criminology,33-3012.00,0.96
Psychology Major,33-3012.00,0.70
Political Science,33-3012.00,0.68
Criminal Justice and Criminology,33-3021.00,0.96
Psychology Major,33-3021.00,0.70
Political Science,33-3021.00,0.68
Criminal Justice and Criminology,33-3021.02,0.96
Psychology Major,33-3021.02,0.70
Political Science,33-3021.02,0.68
Criminal Justice and Criminology,33-3021.06,0.98
Political Science,33-3021.06,0.79
Fire and Emergency Response Administration,33-3021.06,0.66
Biology,33-3031.00,0.98
Environmental Science,33-3031.00,0.83
Political Science,33-3031.00,0.83
Public Health,33-3031.00,0.80
Social Work,33-3041.00,0.93
Public Health,33-3041.00,0.80
Public Relations,33-3041.00,0.80
Criminal Justice and Criminology,33-3051.00,0.96
Psychology Major,33-3051.00,0.70
Political Science,33-3051.00,0.68
Political Science,33-3051.04,0.90
Criminal Justice and Criminology,33-3052.00,0.96
Psychology Major,33-3052.00,0.70
Political Science,33-3052.00,0.68
Social Work,33-9011.00,0.93
Criminal Justice and Criminology,33-9021.00,0.96
Psychology Major,33-9021.00,0.70
Political Science,33-9021.00,0.68
Business Administration,33-9031.00,0.94
Management,33-9031.00,0.94
Accounting,33-9031.00,0.72
Computer Security,33-9032.00,0.98
Criminal Justice and Criminology,33-9032.00,0.72
Construction Project Management,33-9091.00,0.98
Civil Engineering Technology,33-9091.00,0.83
Advanced Manufacturing Operations,33-9091.00,0.68
Social Work,33-9092.00,0.93
Computer Security,33-9093.00,0.98
Criminal Justice and Criminology,33-9093.00,0.72
Data Science and Machine Learning,33-9093.00,0.72
Fire and Emergency Response Administration,33-9094.00,0.94
Psychology Major,33-9094.00,0.94
Art Education,33-9094.00,0.72
Social Work,33-9099.00,0.93
Special Education,33-9099.02,0.93
Accounting,33-9099.02,0.80
History,35-1011.00,0.90
Social Work,35-1012.00,0.93
Management,35-1012.00,0.80
Hospitality Leadership,35-2011.00,0.94
Brewery Operations,35-2011.00,0.72
Business Administration,35-2011.00,0.72
Business Administration,35-2012.00,0.90
Management,35-2012.00,0.90
Communication Studies,35-2012.00,0.90
Business Administration,35-2013.00,0.90
Management,35-2013.00,0.90
Communication Studies,35-2013.00,0.90
Hospitality Leadership,35-2014.00,0.94
Brewery Operations,35-2014.00,0.72
Business Administration,35-2014.00,0.72
Business Administration,35-2015.00,0.90
Management,35-2015.00,0.90
Communication Studies,35-2015.00,0.90
Business Administration,35-2019.00,0.90
Management,35-2019.00,0.90
Communication Studies,35-2019.00,0.90
Social Work,35-2021.00,0.93
Business Administration,35-3011.00,0.90
Management,35-3011.00,0.90
Communication Studies,35-3011.00,0.90
Social Work,35-3023.00,0.93
Brewery Operations,35-3023.00,0.80
Brewery Operations,35-3023.01,0.90
Brewery Operations,35-3031.00,0.90
Hospitality Leadership,35-3041.00,0.98
Hotel Management,35-3041.00,0.98
Brewery Operations,35-3041.00,0.68
Hospitality Leadership,35-9011.00,0.98
Environmental Engineering,35-9011.00,0.79
Applied Geology,35-9011.00,0.66
Business Administration,35-9021.00,0.90
Management,35-9021.00,0.90
Communication Studies,35-9021.00,0.90
Hospitality Leadership,35-9031.00,0.94
Brewery Operations,35-9031.00,0.72
Business Administration,35-9031.00,0.72
Social Work,35-9099.00,0.93
Social Work,37-1011.00,0.98
Hotel Management,37-1011.00,0.89
Hospitality Leadership,37-1011.00,0.72
Social Work,37-1012.00,0.98
Data Science and Machine Learning,37-1012.00,0.72
Management,37-1012.00,0.72
Business Administration,37-2011.00,0.94
Management,37-2011.00,0.94
Accounting,37-2011.00,0.72
Hotel Management,37-2012.00,0.95
Hospitality Leadership,37-2012.00,0.75
Social Work,37-2019.00,0.93
Construction Project Management,37-2019.00,0.80
Social Work,37-2021.00,0.93
Chemistry,37-2021.00,0.80
Construction Project Management,37-2021.00,0.80
Social Work,37-3011.00,0.93
Electrical Engineering,37-3011.00,0.80
Real Estate,37-3011.00,0.80
Chemistry,37-3012.00,0.90
Communication Studies,37-3012.00,0.90
Computer Science,37-3012.00,0.90
Instructional Design and Technology,37-3012.00,0.90
Health Care Information Systems Major,37-3013.00,0.94
Health Care Management,37-3013.00,0.94
Health Care Professional Services,37-3013.00,0.94
Integrative Health Care,37-3013.00,0.94
Nutrition Science,37-3013.00,0.94
Public Health,37-3013.00,0.94
Social Work,37-3019.00,0.93
Hospitality Leadership,39-1013.00,0.98
Hotel Management,39-1013.00,0.98
Business Administration,39-1013.00,0.83
Management,39-1013.00,0.83
Operations Management,39-1013.00,0.83
Social Work,39-1014.00,0.93
Event and Meeting Management,39-1014.00,0.80
Management,39-1014.00,0.80
Sport Management,39-1014.00,0.80
Social Work,39-1022.00,0.93
Management,39-1022.00,0.80
Computer Security,39-2011.00,0.90
Criminal Justice and Criminology,39-2011.00,0.90
Human Development and Family Studies,39-2011.00,0.90
Human Resource Management,39-2011.00,0.90
Human Services,39-2011.00,0.90
Social Work,39-2011.00,0.90
Environmental Engineering,39-2021.00,0.94
Applied Geology,39-2021.00,0.72
Biology,39-2021.00,0.72
Business Administration,39-3011.00,0.90
Management,39-3011.00,0.90
Communication Studies,39-3011.00,0.90
Sport Management,39-3012.00,0.98
Sport Nutrition,39-3012.00,0.89
Event and Meeting Management,39-3012.00,0.82
Social Work,39-3019.00,0.93
Film Studies and Production,39-3021.00,0.98
Music,39-3021.00,0.71
Event and Meeting Management,39-3031.00,0.95
Event and Meeting Management,39-3091.00,0.98
Sport Management,39-3091.00,0.70
Health Care Information Systems Major,39-3092.00,0.90
Health Care Management,39-3092.00,0.90
Health Care Professional Services,39-3092.00,0.90
Integrative Health Care,39-3092.00,0.90
Business Administration,39-3093.00,0.90
Management,39-3093.00,0.90
Communication Studies,39-3093.00,0.90
Social Work,39-3099.00,0.93
Philosophy,39-4011.00,0.90
Human Development and Family Studies,39-4012.00,0.90
Human Resource Management,39-4012.00,0.90
Human Services,39-4012.00,0.90
Business Administration,39-4021.00,0.90
Management,39-4021.00,0.90
Communication Studies,39-4021.00,0.90
Human Development and Family Studies,39-4031.00,0.98
Africana Studies,39-4031.00,0.68
Aging Services Leadership,39-4031.00,0.68
Business Administration,39-5011.00,0.90
Management,39-5011.00,0.90
Communication Studies,39-5011.00,0.90
Business Administration,39-5012.00,0.90
Management,39-5012.00,0.90
Communication Studies,39-5012.00,0.90
Art,39-5091.00,0.90
Business Administration,39-5092.00,0.90
Management,39-5092.00,0.90
Communication Studies,39-5092.00,0.90
Business Administration,39-5093.00,0.90
Management,39-5093.00,0.90
Communication Studies,39-5093.00,0.90
Special Education,39-5094.00,0.93
Hotel Management,39-6011.00,0.95
Hospitality Leadership,39-6011.00,0.75
Business Administration,39-6012.00,0.98
Hotel Management,39-6012.00,0.98
International Business,39-6012.00,0.91
Hospitality Leadership,39-6012.00,0.90
Business Intelligence,39-6012.00,0.79
Advanced Manufacturing Operations,39-7011.00,0.94
Advanced Manufacturing Sciences,39-7011.00,0.94
Construction Project Management,39-7011.00,0.94
Industrial Design,39-7011.00,0.94
Brewery Operations,39-7012.00,0.89
Business Administration,39-7012.00,0.89
Event and Meeting Management,39-7012.00,0.89
Hospitality Leadership,39-7012.00,0.89
Hotel Management,39-7012.00,0.89
Management,39-7012.00,0.89
Early Childhood Education,39-9011.00,0.98
Human Development and Family Studies,39-9011.00,0.82
Special Education,39-9011.00,0.70
"Speech, Language, Hearing Sciences",39-9011.01,0.95
Health Care Information Systems Major,39-9011.01,0.75
Health Care Management,39-9011.01,0.75
Health Care Professional Services,39-9011.01,0.75
Integrative Health Care,39-9011.01,0.75
K-12 Physical Education,39-9011.01,0.75
Exercise Science,39-9031.00,0.98
K-12 Physical Education,39-9031.00,0.78
Sport Management,39-9031.00,0.78
Sport Management,39-9032.00,0.98
Art,39-9032.00,0.90
Music,39-9032.00,0.90
"Art History, Theory, and Criticism",39-9032.00,0.78
Event and Meeting Management,39-9032.00,0.78
